date,fine_gold,standard_gold,silver
2080/01/03,110000,109500,1450
2080/01/04,110000,109500,1450
2080/01/05,110000,109500,1435
2080/01/06,110300,109750,1445
2080/01/07,109800,109300,1445
2080/01/08,110200,109650,1445
2080/01/10,109300,108800,1440
2080/01/11,109100,108600,1420
2080/01/12,109500,109000,1420
2080/01/13,109700,109200,1415
2080/01/14,109600,109100,1415
2080/01/15,109100,108600,1410
2080/01/17,109200,108700,1415
2080/01/18,109000,108500,1415
2080/01/19,108800,108300,1405
2080/01/20,110600,110050,1425
2080/01/21,111800,111250,1445
2080/01/24,110600,110050,1445
2080/01/25,110900,110350,1445
2080/01/26,111200,110650,1445
2080/01/27,111600,111050,1445
2080/01/28,111600,111050,1430
2080/01/29,110800,110250,1375
2080/01/31,110800,110250,1375
2080/02/01,111000,110450,1375
2080/02/02,111100,110550,1375
2080/02/03,110000,109500,1370
2080/02/04,109700,109200,1370
2080/02/05,109200,108700,1370
2080/02/07,110000,109500,1385
2080/02/08,110000,109500,1375
2080/02/09,109200,108700,1365
2080/02/10,109800,109300,1360
2080/02/11,108800,108300,1350
2080/02/12,108300,107800,1345
2080/02/14,108100,107600,1360
2080/02/15,108100,107600,1360
2080/02/16,110500,109950,1375
2080/02/17,112000,111450,1395
2080/02/18,112500,111950,1410
2080/02/19,113300,112750,1435
2080/02/21,111600,111050,1415
2080/02/22,111600,111050,1415
2080/02/23,112500,111950,1420
2080/02/24,112700,112150,1420
2080/02/25,111700,111150,1415
2080/02/26,112500,111950,1455
2080/02/28,112500,111950,1455
2080/02/29,112400,111850,1445
2080/02/30,112700,112150,1450
2080/02/31,111800,111250,1425
2080/02/32,111000,110450,1405
2080/03/01,111800,111250,1425
2080/03/03,112000,111450,1445
2080/03/04,112000,111450,1440
2080/03/05,111800,111250,1430
2080/03/06,111000,110450,1385
2080/03/07,110500,109950,1360
2080/03/08,109800,109300,1335
2080/03/10,110200,109650,1350
2080/03/11,110400,109850,1365
2080/03/12,110600,110050,1375
2080/03/13,110000,109500,1375
2080/03/14,109400,108900,1370
2080/03/15,109600,109100,1360
